"name","voice","condPlayer","condMap","alias","alwaysPlay","requireAddressee","dialogue"
"","","","","// _bc_ aliases below must match miles events",false,false,""
"","","","","//_ping_ aliases below don't need to match (reference only) and no blank lines are allowed",false,false,""
"//bc_nextCircleFar   (disabled post se5)","caustic","wattson","","diag_mp_caustic_bc_nextCircleFar_condWattson_%perspective%",false,false,""
"//bc_reviveThanks (disabled for 9.0)","caustic","wattson","","diag_mp_caustic_bc_reviveThanks_condWattson_%perspective%",true,false,""
"//bc_revivingPlayer (disabled for 9.0)","caustic","wattson","","diag_mp_caustic_bc_revivingPlayer_condWattson_%perspective%",true,false,""
"//ping_fenceNeutral (disabled as of 7.2)","caustic","wattson","","diag_mp_caustic_ping_fenceNeutral_condWattson",true,false,""
"//ping_thanks  (disabled for 8.0)","caustic","wattson","","diag_mp_caustic_ping_thanks_condWattson",false,false,""
"//ping_thanks  (disabled for 8.0)","caustic","revenant","","diag_mp_caustic_ping_thanks_condRevenant",false,false,""
"//ping_youreWelcome  (disabled for 8.0)","caustic","revenant","","diag_mp_caustic_ping_youreWelcome_calm_condRevenant",true,false,""
"","","","","",false,false,""
"//bc_frag   (disabled 13.0)","lifeline","octane","","diag_mp_lifeline_bc_frag_condOctane_%perspective%",false,false,""
"bc_revivingPlayer","lifeline","octane","","diag_mp_lifeline_bc_revivingPlayer_condOctane_%perspective%",true,false,""
"//bc_twoSquaddiesLeft   (disabled 13.0)","lifeline","octane","","diag_mp_lifeline_bc_twoSquaddiesLeft_condOctane_%perspective%",false,false,""
"//ping_iWillJoin   (disabled 13.0)","lifeline","octane","","diag_mp_lifeline_ping_iWillJoin_calm_condOctane",false,false,""
"//ping_jumpPad   (disabled 13.0)","lifeline","octane","","diag_mp_lifeline_ping_jumpPad_calm_condOctane",false,false,""
"//ping_markerYes   (disabled 13.0)","lifeline","octane","","diag_mp_lifeline_ping_markerYes_calm_condOctane",true,false,""
"//ping_markerWait   (disabled 13.0)","lifeline","octane","","diag_mp_lifeline_ping_markerWait_calm_condOctane",true,false,""
"ping_markerNo","lifeline","octane","","diag_mp_lifeline_ping_markerNo_calm_condOctane",true,false,""
"ping_youreWelcome","lifeline","revenant","","diag_mp_lifeline_ping_youreWelcome_calm_condRevenant",true,false,""
"","","","","",false,false,""
"bc_cargoBotDamaged","mirage","pathfinder","","diag_mp_mirage_bc_cargoBotDamaged_condPathfinder_%perspective%",false,false,""
"//bc_objectiveLostSquad (disabled as of 6.1)","mirage","pathfinder","","diag_mp_mirage_bc_objectiveLostSquad_condPathfinder_%perspective%",false,false,""
"//bc_reviveThanks  (disabled as of 6.1)","mirage","pathfinder","","diag_mp_mirage_bc_reviveThanks_condPathfinder_%perspective%",true,false,""
"//bc_squadmateBecomesKillLeader    (disabled as of 6.0)","mirage","pathfinder","","diag_mp_mirage_bc_squadmateBecomesKillLeader_condPathfinder_%perspective%",false,true,""
"bc_reviveThanks","mirage","crypto","","diag_mp_mirage_bc_reviveThanks_condCrypto_%perspective%",true,false,""
"bc_droppingCarePack","mirage","crypto","","diag_mp_mirage_bc_droppingCarePack_condCrypto_%perspective%",false,false,""
"bc_iBecomeKillLeader","mirage","crypto","","diag_mp_mirage_bc_iBecomeKillLeader_condCrypto_%perspective%",false,false,""
"bc_revivingPlayer","mirage","crypto","","diag_mp_mirage_bc_revivingPlayer_condCrypto_%perspective%",true,false,""
"//ping_surveyBeacon (disabled as of 7.0)","mirage","pathfinder","","diag_mp_mirage_ping_surveyBeacon_calm_condPathfinder",false,false,""
"ping_exploreGoPlayer","mirage","crypto","","diag_mp_mirage_ping_exploreGoPlayer_condCrypto_calm",false,false,""
"ping_markerYes","mirage","crypto","","diag_mp_mirage_ping_markerYes_condCrypto_calm",true,false,""
"ping_markerWait","mirage","crypto","","diag_mp_mirage_ping_markerWait_condCrypto_calm",true,false,""
"ping_markerNo","mirage","crypto","","diag_mp_mirage_ping_markerNo_condCrypto_calm",true,false,""
"ping_youreWelcome","mirage","revenant","","diag_mp_mirage_ping_youreWelcome_calm_condRevenant",true,false,""
"","","","","",false,false,""
"//bc_healing   (disabled 13.0)","octane","lifeline","","diag_mp_octane_bc_healing_condLifeline_%perspective%",false,false,""
"//bc_iBecomeKillLeader   (disabled 13.0)","octane","lifeline","","diag_mp_octane_bc_iBecomeKillLeader_condLifeline_%perspective%",true,false,""
