"featureFlag","bundle","base","base_item_cost"
"xx","","",0
"xx","equipment_bundle_1","incapshield_pickup_lv3",30
"xx","","mp_ability_mobile_respawn_beacon",50
"xx","","",0
"xx","equipment_bundle_2","backpack_pickup_lv3",75
"xx","","helmet_pickup_lv3",30
"xx","","",0
"xx","deadshot_bundle","highcal_mag_l3",35
"xx","","optic_cq_hcog_bruiser",25
"xx","","",0
"xx","zombie_bundle","laser_sight_l3",25
"xx","","optic_cq_threat",40
"xx","","",0
"xx","recoil_bundle","bullets_mag_l3",35
"xx","","stock_tactical_l3",25
"xx","","",0
"xx","longshot_bundle","optic_sniper_variable",35
"xx","","sniper_mag_l3",35
"xx","","",0
"xx","ammoeater_bundle","highcal_mag_l3",35
"xx","","hopup_unshielded_dmg",45
"xx","","",0
"xx","shredder_bundle","barrel_stabilizer_l3",25
"xx","","hopup_turbocharger",45
"xx","","",0
"xx","downrange_bundle","bullets_mag_l3",35
"xx","","optic_ranged_aog_variable",30
"xx","","",0
"xx","closer_bundle","shotgun_bolt_l4",35
"xx","","hopup_double_tap",45
"xx","","",0
"xx","sureshot_bundle","stock_sniper_l3",25
"xx","","hopup_headshot_dmg",45
"xx","","",0
"xx","smokepiercer_bundle","energy_mag_l3",35
"xx","","optic_cq_threat",40
"xx","","",0
"xx","versatile_bundle","optic_ranged_hcog",30
"xx","","stock_tactical_l3",25
"xx","","",0
"xx","health_bundle","health_pickup_health_large",15
"xx","","",0
"xx","shield_bundle","health_pickup_combo_large",20
"xx","","",0
"xx","ammo_bundle","bullet",10
"xx","","special",10
"xx","","shotgun",10
"xx","","highcal",10
"xx","","sniper",10
"xx","","arrows",10
"xx","","",0
"xx","evo_bundle","evo_points",50
"xx","","",0
"xx","weapon_one","mp_weapon_volt_smg",30
"xx","weapon_two","mp_weapon_dmr",30
"xx","","",0
"xx","banner_bundle","expired_banners",30
"xx","care_package_bundle","next_care_package_drop_location",15
"string","string","string","int"
