"featureFlag","category","rotationStyle","exclusivityStyle","slots","bundlesList"
"xx","attachment","daily","rarity",2,"deadshot_bundle zombie_bundle recoil_bundle longshot_bundle ammoeater_bundle shredder_bundle downrange_bundle versatile_bundle sureshot_bundle smokepiercer_bundle closer_bundle"
"xx","equipment","weekly","rarity",2,"equipment_bundle_1  equipment_bundle_2"
"xx","weapon_one","seasonal","floor",1,"weapon_one"
"xx","weapon_two","seasonal","floor",1,"weapon_two"
"xx","health_pickup","permanent","none",1,"health_bundle"
"xx","shield_pickup","permanent","none",1,"shield_bundle"
"xx","ammo","loadout_based","none",1,"ammo_bundle"
"xx","evo","permanent","none",1,"evo_bundle"
"xx","banner","perk","none",1,"banner_bundle"
"string","string","string","string","int","string"
