"name","characterRef","skinRef","frameRef","stanceRef","firstBadgeRef","firstBadgeDataInteger","secondBadgeRef","secondBadgeDataInteger","thirdBadgeRef","thirdBadgeDataInteger"
"Xephyris","SAID00827049897","SAID01781795817","SAID01219058079","SAID02088801000","SAID01774065557",65,"SAID01450368797",100,"SAID01926719317",2
"sonictk","SAID00725342087","SAID00695164433","SAID00951380602","SAID00775529591","SAID00092562461",-1,"SAID01488777442",-1,"SAID01488777442",-1
"Sandmaker","SAID01409694078","SAID00796832804","SAID00062537233","SAID00294421454","SAID01164941559",-1,"SAID00024039711",-1,"SAID01744192460",-1
"Fiddly","SAID00182221730","SAID01509402638","SAID01870683857","SAID01667024382","SAID01164941559",-1,"SAID01488777442",-1,"SAID01488777442",-1
"nexirae","SAID00898565421","SAID01969131514","SAID00995909068","SAID01649961270","SAID01198970097",-1,"SAID01488777442",-1,"SAID01488777442",-1
"faceOG","SAID00898565421","SAID00391305083","SAID01484582009","SAID02130577181","SAID01774065557",90,"SAID01200311097",-1,"SAID00635577849",2
"twookiee","SAID01409694078","SAID01464237139","SAID01745810254","SAID01386679009","SAID01774065557",71,"SAID00719209740",-1,"SAID00498953496",-1
"i0257","SAID01409694078","SAID01464237139","SAID00444973922","SAID00941740319","SAID01450368797",2,"SAID01163465131",-1,"SAID01896587185",-1
"waxinlyricaldev","SAID01111853120","SAID00529594028","SAID01258041141","SAID00975754104","SAID00097219464",0,"SAID00559268312",280,"SAID00161505455",-1
"glutinous","SAID01464849662","SAID01429722814","SAID00074969066","SAID00169454245","SAID01105367454",-1,"SAID00097219464",-1,"SAID01122032782",-1
"BiGRiG","SAID00843405508","SAID00086840967","SAID00195560236","SAID01987751340","SAID00097219464",-1,"SAID00320244274",0,"SAID01945575464",-1
"Segretezza","SAID00827049897","SAID01884659551","SAID01219058079","SAID00986526715","SAID00097219464",-1,"SAID01566473307",-1,"SAID00946701015",0
"TrentonRD","SAID01464849662","SAID00445771024","SAID00215765500","SAID00237667952","SAID01041083132",-1,"SAID01163465131",-1,"SAID00097219464",-1
"RespawnSean","SAID00725342087","SAID01887319461","SAID02033246457","SAID02122844468","SAID00097219464",-1,"SAID01041083132",-1,"SAID01126877325",-1
"durnyd","SAID00843405508","SAID00310179171","SAID01386946850","SAID00199472559","SAID00097219464",-1,"SAID01041083132",-1,"SAID00456447254",-1
"bdionne","SAID00827049897","SAID00496624695","SAID00296967174","SAID02046254916","SAID00097219464",-1,"SAID01163465131",-1,"SAID01080720251",-1
"Cook-Dev","SAID01464849662","SAID01917507661","SAID01799343583","SAID00913866781","SAID00097219464",-1,"SAID01892292216",-1,"SAID00685734828",-1
"absurdist_is_bad","SAID00725342087","SAID01644844869","SAID00319106129","SAID00501652428","SAID00097219464",-1,"SAID00498953496",-1,"SAID01080720251",-1
"Shishka","SAID00827049897","SAID01884659551","SAID01219058079","SAID02088801000","SAID00097219464",-1,"SAID00498148130",-1,"SAID00161805815",-1
"CrazyRatLady","SAID00898565421","SAID01969131514","SAID02059064253","SAID00921909335","SAID00061981186",-1,"SAID01635175975",-1,"SAID00097219464",-1
"Warhawk","SAID01111853120","SAID00261794111","SAID00376915016","SAID01497492505","SAID00097219464",-1,"SAID01002182261",-1,"SAID01505402687",-1
"Mitsu","SAID02045656322","SAID00178385753","SAID01438679378","SAID00986179205","SAID00097219464",-1,"SAID00469840549",-1,"SAID00600970543",-1
"Syxz_Dev","SAID00843405508","SAID01428625892","SAID01684647106","SAID00718158226","SAID00097219464",-1,"SAID00756181602",-1,"SAID01126877325",0
"RoBoTg","SAID01111853120","SAID00570096168","SAID00376915016","SAID01567485166","SAID00859240883",-1,"SAID00097219464",-1,"SAID01496995523",-1
"TomBombadillo","SAID01464849662","SAID01917507661","SAID00074969066","SAID00267302733","SAID00097219464",-1,"SAID00198295608",-1,"SAID01487193844",-1
"Trev_Dev","SAID01409694078","SAID01030206186","SAID02143286677","SAID00941740319","SAID00097219464",-1,"SAID01163465131",-1,"SAID01989367351",-1
"Warlord","SAID00827049897","SAID00514338656","SAID02089703866","SAID00986526715","SAID00097219464",-1,"SAID01068395017",-1,"SAID01170935138",-1
"x969xtreme","SAID01464849662","SAID01152941604","SAID01160920630","SAID01955195764","SAID01774065557",3,"SAID01488777442",0,"SAID01488777442",0
"Emmerlynn","SAID00843405508","SAID01488350081","SAID01276619423","SAID00199472559","SAID00300105934",0,"SAID01041083132",-1,"SAID01163465131",-1
"swakdaddy","SAID01464849662","SAID00345303591","SAID01799343583","SAID00237667952","SAID01345298744",-1,"SAID01122032782",-1,"SAID01476705014",-1
"dhdhdh","SAID01464849662","SAID01429722814","SAID01909744553","SAID00267302733","SAID00097219464",-1,"SAID00600970543",0,"SAID01345298744",-1
"Perera","SAID02105222312","SAID00057563004","SAID01250619866","SAID00709015544","SAID00097219464",0,"SAID01514732384",-1,"SAID01258799974",-1
"dbocek","SAID00725342087","SAID01694869144","SAID00319106129","SAID00501652428","SAID00097219464",-1,"SAID00342375670",-1,"SAID01163465131",-1
"Particleman","SAID01464849662","SAID01065749822","SAID01633729806","SAID01749100240","SAID00097219464",-1,"SAID00600970543",0,"SAID01760202661",-1
"Ravi-RSPN","SAID00843405508","SAID00086840967","SAID01386946850","SAID01115114314","SAID00097219464",-1,"SAID00943095226",-1,"SAID00906439234",-1
"TaYaPi","SAID02045656322","SAID01443036088","SAID01438679378","SAID02083161296","SAID00097219464",-1,"SAID00957004276",-1,"SAID00202556195",-1
"MOOSTACHE","SAID00843405508","SAID00845837550","SAID00479789857","SAID01115114314","SAID00097219464",-1,"SAID00906439234",-1,"SAID01450368797",110
"DarKris3DEV","SAID02045656322","SAID01443036088","SAID00670626902","SAID00273241036","SAID00097219464",0,"SAID01683226272",0,"SAID00650330268",0
"MAltamirano_DEV","SAID00843405508","SAID00860274412","SAID00188560165","SAID01115114314","SAID00672805480",0,"SAID00097219464",0,"SAID00650330268",0
"Tweeee","SAID00843405508","SAID00639894721","SAID02071798384","SAID00914410572","SAID00097219464",-1,"SAID00323065966",-1,"SAID01733589570",-1
"jelrick","SAID02045656322","SAID00641509235","SAID00845401618","SAID00986179205","SAID00097219464",-1,"SAID01163465131",-1,"SAID00915920756",-1
"Deco","SAID00725342087","SAID01644844869","SAID01794421011","SAID00421879570","SAID00097219464",-1,"SAID01450368797",110,"SAID01163465131",-1
"thezilch","SAID00843405508","SAID00845837550","SAID01386946850","SAID00664819884","SAID00097219464",-1,"SAID00906439234",-1,"SAID01450368797",110
"lowkeydbjosh","SAID02045656322","SAID00351284201","SAID00845401618","SAID01611606278","SAID00097219464",-1,"SAID01968713426",4,"SAID01774065557",100
"dustman","SAID00182221730","SAID00164150021","SAID01831187039","SAID00575572423","SAID00097219464",-1,"SAID01906251685",4,"SAID01742076365",-1
"AndiTheBaker","SAID01111853120","SAID01764888118","SAID01350753561","SAID00844387739","SAID00097219464",-1,"SAID00320244274",-1,"SAID01637272711",-1
"BooFrisco","SAID02045656322","SAID00351284201","SAID00845401618","SAID02083161296","SAID00097219464",-1,"SAID01588927887",-1,"SAID00054971598",-1
"Soupy","SAID01464849662","SAID01125482103","SAID01076749339","SAID00543164026","SAID00097219464",-1,"SAID01163465131",-1,"SAID02145357846",-1
"alex_frostwolf","SAID01409694078","SAID00796832804","SAID01745810254","SAID00447069901","SAID01041083132",-1,"SAID00097219464",-1,"SAID01163465131",-1
"X350","SAID00843405508","SAID00709420018","SAID00607919658","SAID00155868821","SAID00097219464",-1,"SAID00906439234",-1,"SAID01968713426",4
"R3C0N54_GARZA","SAID02045656322","SAID01424385934","SAID01438679378","SAID01262193178","SAID00097219464",-1,"SAID01305785150",1,"SAID01588927887",-1
"BeeBeeDeluxeDEV","SAID00827049897","SAID00019898771","SAID01219058079","SAID01754914733","SAID00097219464",0,"SAID00650330268",0,"SAID02134557309",0
"Papa_Austin_Dev","SAID01464849662","SAID00345303591","SAID00337288178","SAID00267302733","SAID01774065557",100,"SAID00097219464",-1,"SAID00320244274",0
"Sir DiesALot","SAID00827049897","SAID01884659551","SAID02089703866","SAID00514111480","SAID00097219464",-1,"SAID02136665970",3,"SAID01170935138",-1
"Hooch","SAID01464849662","SAID00551229845","SAID01633729806","SAID00543164026","SAID00097219464",-1,"SAID02145357846",-1,"SAID01163465131",-1
"JZartist","SAID00725342087","SAID00850101569","SAID00951380602","SAID02041779191","SAID00097219464",-1,"SAID00575252485",-1,"SAID00385542266",-1
"ARARARAGI","SAID01464849662","SAID00551229845","SAID00215765500","SAID01261908739","SAID00097219464",-1,"SAID01774065557",100,"SAID02145357846",-1
"PENTA_WACKO","SAID00827049897","SAID00019898771","SAID01219058079","SAID00155093852","SAID02136665970",3,"SAID01170935138",-1,"SAID00167239552",100
"PK_hodsic","SAID00187386164","SAID00357328018","SAID00144564377","SAID00535116184","SAID01774065557",100,"SAID02074412862",3,"SAID00335387731",-1
"CLQ_Paradox_MSI","SAID01464849662","SAID00023553099","SAID00215765500","SAID00267302733","SAID01774065557",99,"SAID01760202661",4,"SAID01450368797",110
"whub","SAID01464849662","SAID00292312221","SAID01076749339","SAID00267302733","SAID00097219464",-1,"SAID02145357846",-1,"SAID01915668564",3
"Xenogearcap","SAID01111853120","SAID00570096168","SAID01350753561","SAID01497492505","SAID00097219464",-1,"SAID00640101722",-1,"SAID01450368797",110
"FrozenFroh","SAID02045656322","SAID01424385934","SAID00845401618","SAID00002234092","SAID00678328948",-1,"SAID02126396589",-1,"SAID00491806750",-1
"SPEARHEADPR","SAID00898565421","SAID01920478065","SAID00630964374","SAID00921909335","SAID00501794523",0,"SAID01671811087",0,"SAID00661427360",-1
"chelpppp","SAID01579967516","SAID00316953968","SAID00495593193","SAID01321549414","SAID01041083132",-1,"SAID01163465131",-1,"SAID01673450061",-1
"CoPowah","SAID00405279270","SAID00506842791","SAID00175126899","SAID00852688698","SAID00097219464",0,"SAID00600970543",0,"SAID01708234870",-1
"Goodbrand","SAID00064207844","SAID01012059272","SAID01097340168","SAID01964181397","SAID00097219464",0,"SAID00644432779",-1,"SAID00387661382",-1
"mackenzie","SAID01409694078","SAID00886574955","SAID01421276673","SAID01657023826","SAID00097219464",0,"SAID01630319816",-1,"SAID01586630595",-1
"BrianOnTheRocks","SAID00843405508","SAID00627630746","SAID01386946850","SAID00505461543","SAID02108629689",0,"SAID00909813118",-1,"SAID00097219464",0
"IRON_Orden","SAID00843405508","SAID00595257832","SAID01146306875","SAID01591926548","SAID00097219464",0,"SAID01733589570",-1,"SAID00906439234",-1
"SpicyCheesyRamen","SAID02045656322","SAID00951730639","SAID01717446001","SAID02083161296","SAID00097219464",0,"SAID01869917827",0,"SAID00300105934",0
"StuManCool","SAID01111853120","SAID00261794111","SAID00173176690","SAID00975754104","SAID00097219464",0,"SAID00640101722",-1,"SAID01496995523",-1
"ShawbsBox","SAID01464849662","SAID00619187091","SAID01236942883","SAID01955195764","SAID00097219464",0,"SAID01488777442",0,"SAID01488777442",0
"The_Pwnisher","SAID00064207844","SAID01414516689","SAID01224604534","SAID01613031704","SAID00097219464",0,"SAID01708234870",-1,"SAID01164612193",0
"JayBiebs","SAID00827049897","SAID00057928754","SAID00853298425","SAID02088801000","SAID00097219464",0,"SAID00685734828",3,"SAID01170935138",-1
"zeromidichlorian","SAID00088599337","SAID00321691472","SAID01841433457","SAID01128585538","SAID00097219464",0,"SAID01903235014",-1,"SAID01041083132",-1
"Redkulaid","SAID00725342087","SAID01048767125","SAID00319106129","SAID00775529591","SAID01113406948",13,"SAID00097219464",0,"SAID01337761783",13
"bishoptl","SAID01111853120","SAID00591275476","SAID01350753561","SAID00975754104","SAID00166515712",-1,"SAID01496995523",-1,"SAID00097219464",0
"FeathersTheGreat","SAID00088599337","SAID01885697463","SAID01841433457","SAID01073081262","SAID00097219464",0,"SAID01388626304",-1,"SAID01806023515",-1
"IDragon","SAID00080232848","SAID01635408523","SAID01371870568","SAID01157264561","SAID00097219464",0,"SAID01068814927",-1,"SAID01826078989",-1
"Kyki_","SAID00405279270","SAID00751942774","SAID00347815692","SAID00417242532","SAID00097219464",0,"SAID01488777442",0,"SAID01488777442",0
"BC_Steve_TTV","SAID00187386164","SAID00895343559","SAID00424172159","SAID00051955487","SAID00097219464",0,"SAID01708234870",-1,"SAID00014539498",-1
"SnappiPappi","SAID01409694078","SAID00246657144","SAID00344928455","SAID00615908353","SAID00097219464",0,"SAID01406953444",0,"SAID00358361967",0
"E4-Mic","SAID00088599337","SAID01507148251","SAID00443447542","SAID01938224137","SAID01854288731",0,"SAID00097219464",0,"SAID01041083132",-1
"RV-Xajai","SAID02045656322","SAID01443036088","SAID00069050368","SAID02083161296","SAID00097219464",0,"SAID02126396589",-1,"SAID00957004276",-1
