"name","alias","priority","perspective","radioDisplayName","voice","textDuration","dialogue"
"","",0,"","","",0,""
"//MissionTestA","diag_pve_highOctane_reverseEngineerComplete_102_01_01_octane_%perspective%",40,"radio","","octane",0,"Serves ya right! Stealing ain't cool!"
"//MissionTestA","diag_pve_highOctane_reverseEngineerComplete_102_03_01_octane_%perspective%",40,"radio","","octane",0,"No more Octane toys for you!"
"","",0,"","","",0,""
"//MissionTestB","",40,"radio","","octane",5,"This isn't going to go the way that you think. Get in, get out, and try not to die in the process."
"//MissionTestB","",40,"radio","","octane",5,"Oooooh boy I don’t know about this one! Keep those eyes perked up!"
"","",0,"","","",0,""
"//MissionTestC","",40,"radio","","loba",3,"I’m going to nag you, a lot."
"//MissionTestC","",40,"radio","","loba",3,"Just going to repeatedly pester you."
"//MissionTestC","",40,"radio","","loba",3,"I won’t get bored of bothering you, nope."
"","",0,"","","",0,""
"//MissionTestD","",40,"radio","","wraith",10,"I think what we're looking for is in that building. Be careful. Everything here is... infested."
"","",0,"","","",0,""
"","",0,"","","",0,""
"flyin_nightrun_set_artillery","",10,"radio","","loba",6.5,"#flyin_nightrun_set_artillery"
"wave1_nightrun_set_artillery","",10,"radio","","loba",8,"#wave1_nightrun_set_artillery"
"random1_nightrun_set_artillery","",11,"radio","","loba",6,"#random1_nightrun_set_artillery"
"random2_nightrun_set_artillery","",11,"radio","","loba",8,"#random2_nightrun_set_artillery"
"digsite_approach_nightrun_set_artillery","",10,"radio","","loba",8,"#digsite_approach_nightrun_set_artillery"
"drill_planted_nightrun_set_artillery","",10,"radio","","loba",8,"#drill_planted_nightrun_set_artillery"
"drill_complete_nightrun_set_artillery","",10,"radio","","loba",6,"#drill_complete_nightrun_set_artillery"
"get_to_evac_nightrun_set_artillery","",10,"radio","","loba",6,"#get_to_evac_nightrun_set_artillery"
"","",0,"","","",0,""
"flyin_nightrun_set_cage","",10,"radio","","bangalore",6.5,"#flyin_nightrun_set_cage"
"killcount_start_nightrun_set_cage","",10,"radio","","bangalore",8,"#killcount_start_nightrun_set_cage"
"killcount_done_nightrun_set_cage","",10,"radio","","bangalore",8,"#killcount_done_nightrun_set_cage"
"random1_nightrun_set_cage","",11,"radio","","bangalore",8,"#random1_nightrun_set_cage"
"random2_nightrun_set_cage","",11,"radio","","bangalore",6,"#random2_nightrun_set_cage"
"door_panels_start_nightrun_set_cage","",10,"radio","","bangalore",8,"#door_panels_start_nightrun_set_cage"
"door_panels_one_remaining_nightrun_set_cage","",10,"radio","","bangalore",6,"#door_panels_one_remaining_nightrun_set_cage"
"door_panels_end_nightrun_set_cage","",10,"radio","","bangalore",8,"#door_panels_end_nightrun_set_cage"
"drill_planted_nightrun_set_cage","",10,"radio","","bangalore",6,"#drill_planted_nightrun_set_cage"
"drill_complete_nightrun_set_cage","",10,"radio","","bangalore",6,"#drill_complete_nightrun_set_cage"
"get_to_evac_nightrun_set_cage","",10,"radio","","bangalore",6,"#get_to_evac_nightrun_set_cage"
"","",0,"","","",0,""
"flyin_nightrun_set_water_treatment_town","",10,"radio","","revenant_shadow",6.5,"#flyin_nightrun_set_water_treatment_town"
"totem_destroy_start_nightrun_set_water_treatment_town","",10,"radio","","revenant_shadow",8,"#totem_destroy_start_nightrun_set_water_treatment_town"
"totem_destroy_one_remaining_nightrun_set_water_treatment_town","",10,"radio","","revenant_shadow",8,"#totem_destroy_one_remaining_nightrun_set_water_treatment_town"
"totem_destroy_end_nightrun_set_water_treatment_town","",10,"radio","","revenant_shadow",8,"#totem_destroy_end_nightrun_set_water_treatment_town"
"drill_planted_nightrun_set_water_treatment_town","",10,"radio","","revenant_shadow",8,"#drill_planted_nightrun_set_water_treatment_town"
"drill_complete_nightrun_set_water_treatment_town","",10,"radio","","revenant_shadow",6,"#drill_complete_nightrun_set_water_treatment_town"
"get_to_evac_nightrun_set_water_treatment_town","",10,"radio","","revenant_shadow",6,"#get_to_evac_nightrun_set_water_treatment_town"
"","",0,"","","",0,""
"flyin_nightrun_set_slum_lakes","",10,"radio","","pathfinder",6.5,"#flyin_nightrun_set_slum_lakes"
"killcount_start_nightrun_set_slum_lakes","",10,"radio","","pathfinder",8,"#killcount_start_nightrun_set_slum_lakes"
"killcount_done_nightrun_set_slum_lakes","",10,"radio","","pathfinder",8,"#killcount_done_nightrun_set_slum_lakes"
"drill_planted_nightrun_set_slum_lakes","",10,"radio","","pathfinder",8,"#drill_planted_nightrun_set_slum_lakes"
"drill_complete_nightrun_set_slum_lakes","",10,"radio","","pathfinder",6,"#drill_complete_nightrun_set_slum_lakes"
"get_to_evac_nightrun_set_slum_lakes","",10,"radio","","pathfinder",6,"#get_to_evac_nightrun_set_slum_lakes"
"","",0,"","","",0,""
"flyin_nightrun_set_bunker","",10,"radio","","gibraltar",6.5,"#flyin_nightrun_set_bunker"
"door_panels_start_nightrun_set_bunker","",10,"radio","","gibraltar",8,"#door_panels_start_nightrun_set_bunker"
"door_panels_one_remaining_nightrun_set_bunker","",10,"radio","","gibraltar",6,"#door_panels_one_remaining_nightrun_set_bunker"
