"featureFlag","name","alias","priority","radioDisplayName","team","radioIntercept","vduVideo","dialogue","bucket","note"
"","Train_DepartNow","diag_ap_trainNotify_departNow_int",10,"#HOST_AI","TEAM_MILITIA",false,"","","",""
"","Train_NextStop","diag_ap_trainNotify_stopNext_int",10,"#HOST_AI","TEAM_MILITIA",false,"","","",""
"","Train_NowArriving","diag_ap_trainNotify_stopThis_int",10,"#HOST_AI","TEAM_MILITIA",false,"","","",""
"","Train_TrainYard","diag_ap_trainNotify_placeTrainYard_int",10,"#HOST_AI","TEAM_MILITIA",false,"","","",""
"","Train_CapitolCity","diag_ap_trainNotify_placeCapitolCity_int",10,"#HOST_AI","TEAM_MILITIA",false,"","","",""
"","Train_Skyhook","diag_ap_trainNotify_placeSkyhook_int",10,"#HOST_AI","TEAM_MILITIA",false,"","","",""
"","Train_Refinery","diag_ap_trainNotify_placeRefinery_int",10,"#HOST_AI","TEAM_MILITIA",false,"","","",""
"","Train_ThermalStation","diag_ap_trainNotify_placeThermalStation_int",10,"#HOST_AI","TEAM_MILITIA",false,"","","",""
"","Train_SortingFactory","diag_ap_trainNotify_placeSortingFactory_int",10,"#HOST_AI","TEAM_MILITIA",false,"","","",""
"","Train_TurningRight","diag_ap_trainNotify_turnRight_int",10,"#HOST_AI","TEAM_MILITIA",false,"","","",""
"","Train_TurningLeft","diag_ap_trainNotify_turnLeft_int",10,"#HOST_AI","TEAM_MILITIA",false,"","","",""
"","Train_MindTheGap","diag_ap_trainNotify_mindTheGap_int",10,"#HOST_AI","TEAM_MILITIA",false,"","","",""
"","Train_EmergencyBrake","diag_ap_trainNotify_brakeEmergency_int",10,"#HOST_AI","TEAM_MILITIA",false,"","","",""
"","Train_StoppedAtUnknownSpot","diag_ap_trainNotify_stopped_int",10,"#HOST_AI","TEAM_MILITIA",false,"","","",""
"","Train_Holiday_1","diag_ap_trainNotify_placeSkyhook_int",10,"#HOST_AI","TEAM_MILITIA",false,"","","",""
"","Train_Holiday_2","diag_ap_trainNotify_placeTrainYard_int",10,"#HOST_AI","TEAM_MILITIA",false,"","","",""
"","Train_Holiday_3","diag_ap_trainNotify_placeTrainYard_int",10,"#HOST_AI","TEAM_MILITIA",false,"","","",""
"string","string","string","int","string","string","bool","asset_noprecache","string","string","string"
