"featureFlag","weaponGroup","weaponRef","weight"
"xx","crate","",0
"!!DATA EXCLUDED!!","","!!DATA EXCLUDED!!",1
"!!DATA EXCLUDED!!","","!!DATA EXCLUDED!!",1
"!!DATA EXCLUDED!!","","!!DATA EXCLUDED!!",1
"xx","assault_rifle","",0
"xx","","mp_weapon_rspn101_purpleset",1
"xx","","mp_weapon_vinson_purpleset",1
"xx","","mp_weapon_energy_ar_gold",1
"xx","","mp_weapon_nemesis_purpleset",1
"!!DATA EXCLUDED!!","","!!DATA EXCLUDED!!",1
"xx","smg","",0
"xx","","mp_weapon_alternator_smg_whiteset",1
"xx","","mp_weapon_r97_blueset",1
"xx","","mp_weapon_volt_smg_whiteset",1
"!!DATA EXCLUDED!!","","!!DATA EXCLUDED!!",1
"xx","","mp_weapon_car_blueset",1
"xx","","mp_weapon_pdw_whiteset",1
"xx","lmg","",0
"xx","","mp_weapon_lmg_blueset",2
"!!DATA EXCLUDED!!","","!!DATA EXCLUDED!!",1
"xx","","mp_weapon_esaw_blueset",1
"xx","","mp_weapon_dragon_lmg_blueset",1
"!!DATA EXCLUDED!!","","!!DATA EXCLUDED!!",1
"xx","","mp_weapon_lstar_blueset",1
"xx","marksmen","",0
"xx","","mp_weapon_g2_purpleset",1
"!!DATA EXCLUDED!!","","!!DATA EXCLUDED!!",1
"xx","","mp_weapon_3030_gold",1
"!!DATA EXCLUDED!!","","!!DATA EXCLUDED!!",1
"xx","","mp_weapon_bow",0.5
"xx","","mp_weapon_doubletake_blueset",1
"xx","shotguns","",0
"xx","","mp_weapon_mastiff_whiteset",1
"!!DATA EXCLUDED!!","","!!DATA EXCLUDED!!",1
"xx","","mp_weapon_energy_shotgun_whiteset",1
"xx","","mp_weapon_shotgun_blueset",1
"xx","","mp_weapon_shotgun_pistol_purpleset",1
"xx","snipers","",0
"xx","","mp_weapon_sentinel_blueset",1
"xx","","mp_weapon_dmr_blueset",1
"xx","","mp_weapon_defender_blueset",1
"xx","pistol","",0
"xx","","mp_weapon_wingman_whiteset",1
"!!DATA EXCLUDED!!","","!!DATA EXCLUDED!!",1
"xx","","mp_weapon_autopistol",1
"string","string","string","float"
