"featureFlag","loadout","loadoutText","contents","exclusivityStyleWeapons","exclusivityStyleConsumables","exclusivityStyleEquipment"
"xx","","","","","",""
"xx","assault_loadout_1","#TDM_EXPRESS_LOADOUT_1","","ALL","NONE","RARITY"
"xx","","","mp_weapon_wingman_gold","","",""
"xx","","","","","",""
"xx","assault_loadout_2","#TDM_EXPRESS_LOADOUT_2","","ALL","NONE","RARITY"
"xx","","","mp_weapon_3030_gold","","",""
"xx","","","","","",""
"xx","assault_loadout_3","#TDM_EXPRESS_LOADOUT_3","","ALL","NONE","RARITY"
"xx","","","mp_weapon_g2_gold","","",""
"xx","","","","","",""
"xx","assault_loadout_4","#TDM_EXPRESS_LOADOUT_4","","ALL","NONE","RARITY"
"xx","","","mp_weapon_hemlok","","",""
"xx","","","","","",""
"xx","assault_loadout_5","#TDM_EXPRESS_LOADOUT_5","","ALL","NONE","RARITY"
"xx","","","mp_weapon_sentinel_gold","","",""
"xx","","","","","",""
"xx","assault_loadout_6","#TDM_EXPRESS_LOADOUT_6","","ALL","NONE","RARITY"
"xx","","","mp_weapon_sniper","","",""
"string","string","string","string","string","string","string"
