"featureFlag","loadout","loadoutText","contents","exclusivityStyleWeapons","exclusivityStyleConsumables","exclusivityStyleEquipment"
"xx","","","","","",""
"xx","assault_loadout_1","#WINTER_EXPRESS_LOADOUT_1","","ALL","NONE","RARITY"
"xx","","","mp_weapon_rspn101_whiteset","","",""
"xx","","","mp_weapon_shotgun_pistol_purpleset","","",""
"xx","","","health_pickup_health_small","","",""
"xx","","","health_pickup_health_large","","",""
"xx","","","mp_weapon_frag_grenade","","",""
"xx","","","armor_pickup_lv3","","",""
"xx","","","helmet_pickup_lv1","","",""
"xx","","","incapshield_pickup_lv1","","",""
"xx","","","backpack_pickup_lv2","","",""
"xx","","","","","",""
"xx","assault_loadout_2","#WINTER_EXPRESS_LOADOUT_1","","ALL","NONE","RARITY"
"!!DATA EXCLUDED!!","","","!!DATA EXCLUDED!!","","",""
"xx","","","mp_weapon_energy_shotgun_whiteset","","",""
"xx","","","health_pickup_health_small","","",""
"xx","","","health_pickup_health_large","","",""
"xx","","","mp_weapon_grenade_emp","","",""
"xx","","","armor_pickup_lv3","","",""
"xx","","","helmet_pickup_lv1","","",""
"xx","","","incapshield_pickup_lv1","","",""
"xx","","","backpack_pickup_lv2","","",""
"xx","","","","","",""
"xx","assault_loadout_3","#WINTER_EXPRESS_LOADOUT_1","","ALL","NONE","RARITY"
"xx","","","mp_weapon_vinson_whiteset","","",""
"xx","","","mp_weapon_semipistol_purpleset","","",""
"xx","","","health_pickup_health_small","","",""
"xx","","","health_pickup_health_large","","",""
"xx","","","mp_weapon_frag_grenade","","",""
"xx","","","armor_pickup_lv3","","",""
"xx","","","helmet_pickup_lv1","","",""
"xx","","","incapshield_pickup_lv1","","",""
"xx","","","backpack_pickup_lv2","","",""
"xx","","","","","",""
"xx","assault_loadout_4","#WINTER_EXPRESS_LOADOUT_1","","ALL","NONE","RARITY"
"xx","","","mp_weapon_energy_ar_blueset","","",""
"xx","","","mp_weapon_shotgun_blueset","","",""
"xx","","","health_pickup_health_small","","",""
"xx","","","health_pickup_health_large","","",""
"xx","","","mp_weapon_thermite_grenade","","",""
"xx","","","armor_pickup_lv3","","",""
"xx","","","helmet_pickup_lv1","","",""
"xx","","","incapshield_pickup_lv1","","",""
"xx","","","backpack_pickup_lv2","","",""
"xx","","","","","",""
"xx","blitz_loadout_1","#WINTER_EXPRESS_LOADOUT_2","","ALL","NONE","RARITY"
"xx","","","mp_weapon_car_purpleset","","",""
"xx","","","mp_weapon_wingman_whiteset","","",""
"xx","","","health_pickup_health_small","","",""
"xx","","","health_pickup_health_large","","",""
"xx","","","mp_weapon_frag_grenade","","",""
"xx","","","armor_pickup_lv3","","",""
"xx","","","helmet_pickup_lv1","","",""
"xx","","","incapshield_pickup_lv1","","",""
"xx","","","backpack_pickup_lv2","","",""
"xx","","","","","",""
"xx","blitz_loadout_2","#WINTER_EXPRESS_LOADOUT_2","","ALL","NONE","RARITY"
"xx","","","mp_weapon_volt_smg_blueset","","",""
"xx","","","mp_weapon_shotgun_pistol_blueset","","",""
"xx","","","health_pickup_health_small","","",""
"xx","","","health_pickup_health_large","","",""
"xx","","","mp_weapon_thermite_grenade","","",""
"xx","","","armor_pickup_lv3","","",""
"xx","","","helmet_pickup_lv1","","",""
"xx","","","incapshield_pickup_lv1","","",""
"xx","","","backpack_pickup_lv2","","",""
"xx","","","","","",""
"xx","blitz_loadout_3","#WINTER_EXPRESS_LOADOUT_2","","ALL","NONE","RARITY"
"xx","","","mp_weapon_r97_blueset","","",""
"xx","","","mp_weapon_energy_shotgun_blueset","","",""
"xx","","","health_pickup_health_small","","",""
"xx","","","health_pickup_health_large","","",""
"xx","","","mp_weapon_grenade_emp","","",""
"xx","","","armor_pickup_lv3","","",""
"xx","","","helmet_pickup_lv1","","",""
"xx","","","incapshield_pickup_lv1","","",""
"xx","","","backpack_pickup_lv2","","",""
"xx","","","","","",""
"xx","blitz_loadout_4","#WINTER_EXPRESS_LOADOUT_2","","ALL","NONE","RARITY"
"xx","","","mp_weapon_pdw_blueset","","",""
"xx","","","mp_weapon_mastiff_blueset","","",""
"xx","","","health_pickup_health_small","","",""
"xx","","","health_pickup_health_large","","",""
"xx","","","mp_weapon_grenade_emp","","",""
"xx","","","armor_pickup_lv3","","",""
"xx","","","helmet_pickup_lv1","","",""
"xx","","","incapshield_pickup_lv1","","",""
"xx","","","backpack_pickup_lv2","","",""
"xx","","","","","",""
"xx","heavy_loadout_1","#WINTER_EXPRESS_LOADOUT_3","","ALL","NONE","RARITY"
"xx","","","mp_weapon_esaw_blueset","","",""
"xx","","","mp_weapon_energy_shotgun_whiteset","","",""
"xx","","","health_pickup_health_small","","",""
"xx","","","health_pickup_health_large","","",""
"xx","","","mp_weapon_frag_grenade","","",""
"xx","","","armor_pickup_lv3","","",""
"xx","","","helmet_pickup_lv1","","",""
"xx","","","incapshield_pickup_lv1","","",""
"xx","","","backpack_pickup_lv2","","",""
"xx","","","","","",""
"xx","heavy_loadout_2","#WINTER_EXPRESS_LOADOUT_3","","ALL","NONE","RARITY"
