"levelIndex","displayLevel","xpPerLevel","reward","rewardQty"
0,1,100,"settings/itemflav/pack/cosmetic_rare.rpak",1
1,2,2650,"settings/itemflav/pack/cosmetic_rare.rpak",1
2,3,3900,"settings/itemflav/pack/cosmetic_rare.rpak",1
0,0,0,"settings/itemflav/grx_currency/credits.rpak",600
3,4,4750,"settings/itemflav/pack/cosmetic_rare.rpak",1
0,0,0,"settings/itemflav/grx_currency/credits.rpak",600
4,5,5600,"settings/itemflav/pack/cosmetic_rare.rpak",1
0,0,0,"settings/itemflav/grx_currency/credits.rpak",600
5,6,6350,"settings/itemflav/pack/cosmetic_rare.rpak",1
0,0,0,"settings/itemflav/grx_currency/credits.rpak",600
6,7,7100,"settings/itemflav/pack/cosmetic_rare.rpak",1
0,0,0,"settings/itemflav/grx_currency/credits.rpak",600
7,8,7850,"settings/itemflav/pack/cosmetic_rare.rpak",1
0,0,0,"settings/itemflav/grx_currency/credits.rpak",600
8,9,8150,"settings/itemflav/pack/cosmetic_rare.rpak",1
0,0,0,"settings/itemflav/grx_currency/credits.rpak",600
9,10,8600,"settings/itemflav/pack/cosmetic_rare.rpak",1
0,0,0,"settings/itemflav/grx_currency/credits.rpak",600
10,11,9050,"settings/itemflav/pack/cosmetic_rare.rpak",1
0,0,0,"settings/itemflav/grx_currency/credits.rpak",600
11,12,9500,"settings/itemflav/pack/cosmetic_rare.rpak",1
0,0,0,"settings/itemflav/grx_currency/credits.rpak",600
12,13,9950,"settings/itemflav/pack/cosmetic_rare.rpak",1
0,0,0,"settings/itemflav/grx_currency/credits.rpak",600
13,14,10400,"settings/itemflav/pack/cosmetic_rare.rpak",1
0,0,0,"settings/itemflav/grx_currency/credits.rpak",600
14,15,10850,"settings/itemflav/pack/cosmetic_rare.rpak",1
0,0,0,"settings/itemflav/grx_currency/credits.rpak",600
15,16,11300,"settings/itemflav/pack/cosmetic_rare.rpak",1
0,0,0,"settings/itemflav/grx_currency/credits.rpak",600
16,17,11750,"settings/itemflav/pack/cosmetic_rare.rpak",1
0,0,0,"settings/itemflav/grx_currency/credits.rpak",600
17,18,12200,"settings/itemflav/pack/cosmetic_rare.rpak",1
0,0,0,"settings/itemflav/grx_currency/credits.rpak",600
18,19,12350,"settings/itemflav/pack/cosmetic_rare.rpak",1
0,0,0,"settings/itemflav/grx_currency/credits.rpak",600
19,20,12500,"settings/itemflav/grx_currency/credits.rpak",600
20,21,12650,"settings/itemflav/pack/cosmetic_rare.rpak",1
0,0,0,"settings/itemflav/grx_currency/credits.rpak",600
21,22,12800,"settings/itemflav/grx_currency/credits.rpak",600
22,23,12950,"settings/itemflav/pack/cosmetic_rare.rpak",1
0,0,0,"settings/itemflav/grx_currency/credits.rpak",600
23,24,13100,"settings/itemflav/grx_currency/credits.rpak",600
24,25,13250,"settings/itemflav/pack/cosmetic_rare.rpak",1
0,0,0,"settings/itemflav/grx_currency/credits.rpak",600
25,26,13400,"settings/itemflav/grx_currency/credits.rpak",600
26,27,13550,"settings/itemflav/pack/cosmetic_rare.rpak",1
0,0,0,"settings/itemflav/grx_currency/credits.rpak",600
27,28,13700,"settings/itemflav/grx_currency/credits.rpak",600
28,29,13850,"settings/itemflav/pack/cosmetic_rare.rpak",1
0,0,0,"settings/itemflav/grx_currency/credits.rpak",600
29,30,14000,"settings/itemflav/grx_currency/credits.rpak",600
30,31,14150,"settings/itemflav/pack/cosmetic_rare.rpak",1
0,0,0,"settings/itemflav/grx_currency/credits.rpak",600
31,32,14300,"settings/itemflav/grx_currency/credits.rpak",600
32,33,14450,"settings/itemflav/pack/cosmetic_rare.rpak",1
0,0,0,"settings/itemflav/grx_currency/credits.rpak",600
33,34,14600,"settings/itemflav/grx_currency/credits.rpak",600
34,35,14750,"settings/itemflav/pack/cosmetic_rare.rpak",1
0,0,0,"settings/itemflav/grx_currency/credits.rpak",600
35,36,14900,"settings/itemflav/grx_currency/credits.rpak",600
36,37,15050,"settings/itemflav/pack/cosmetic_rare.rpak",1
