"placement","placementPoints","pointsPerKill","pointsPerAssist","sumOfKillsAndAssistsPointCap","placementKillBonus","multiplier","killByPlacement"
0,0,0,0,0,0,0,0
1,125,25,25,125,15,2.5,25
2,95,21,21,125,11,2.3,23
3,70,18,18,125,8,2,20
4,55,15,15,125,5,1.8,18
5,45,15,15,125,5,1.6,16
6,30,11,11,125,1,1.4,14
7,20,11,11,125,1,1.2,12
8,20,11,11,125,1,1.2,12
9,10,11,11,125,1,1,10
10,10,11,11,125,1,1,10
11,5,10,10,125,0,0.5,5
12,5,10,10,125,0,0.5,5
13,5,10,10,125,0,0.5,5
14,0,10,10,125,0,0.1,1
"int","int","int","int","int","int","float","int"
