"seasonTag","tallImage","squareImage","tallFrameOverlay","squareFrameOverlay","specialPageHeaderImage","specialPageHeaderTitle","headerOutlineOuterColor","headerOutlineOuterAlpha","headerOutlineInnerColor","headerOutlineInnerAlpha"
"default","","","","","","","<0,0,0>",0,"<0,0,0>",0
"valentines","","","","","rui/events/sale_valentines/store_header_bg","#VALENTINES_STORE_TITLE","<0.89,0,0.84>",1,"<0.89,0,0.84>",1
"legendary_hunt","rui/menu/store/legendary_hunt_bg_tall","rui/menu/store/legendary_hunt_bg_square","rui/menu/store/legendary_hunt_fg_tall","","","","<0,0,0>",0,"<0,0,0>",0
"discount","rui/menu/store/feature_background_tall","","rui/menu/store/promo_discount","rui/menu/store/promo_discount_square","","","<0,0,0>",0,"<0,0,0>",0
"season02_event01","rui/events/s02e01/regular_store_bg_tall","","","","","","<0,0,0>",0,"<0,0,0>",0
"s03e01a","rui/menu/store/feature_background_tall","","rui/events/s03e01a/store_button_fg_tag_tall","","rui/events/s03e01a/store_header_bg","#S03E01A_STORE_TITLE","<0,0,0>",0,"<0,0,0>",0
"s05e01a","","","","","rui/events/s05e01a/store_header_bg","#S05E01A_STORE_TITLE","<0,0,0>",0,"<0,0,0>",0
"black_friday","","","","","rui/events/sale_black_Friday/store_header_bg","#BLACK_FRIDAY_STORE_TITLE","<0,0,0>",0,"<0,0,0>",0
"holoday","","","","","rui/events/sale_holoday/store_header_bg","#HOLODAY_STORE_TITLE","<0,0,0>",0,"<0,0,0>",0
"end_of_year","","","","","rui/events/sale_end_of_year/store_header_bg","#END_OF_YEAR_STORE_TITLE","<0,0,0>",0,"<0,0,0>",0
"ctm","","","","","rui/events/sale_ctm/store_header_bg","#CTM_STORE_TITLE","<0,0,0>",0,"<0,0,0>",1
"s08e02","","","","","rui/events/s08e02/store_header_bg","#S08E02_STORE_TITLE","<0,0,0>",0,"<0,0,0>",0
"golden_week","","","","","rui/events/sale_golden_week/store_header_bg","#GOLDEN_WEEK_STORE_TITLE","<0,0,0>",0,"<0,0,0>",0
"algs","","","","","rui/events/algs/store_header_bg","#ALGS_STORE_TITLE","<0,0,0>",0,"<0,0,0>",0
"summer","","","","","rui/events/summer/store_header_bg","#SUMMER_STORE_TITLE","<0,0,0>",0,"<0,0,0>",0
"recolor_vault","","","","","rui/events/recolor_vault/store_header_bg","#RECOLOR_VAULT_STORE_TITLE","<0.16,0.38,0.58>",1,"<0.16,0.38,0.58>",1
"dia_de_los_muertos","","","","","rui/events/sale_dia_de_los_muertos/store_header_bg","#DIA_DE_LOS_MUERTOS_STORE_TITLE","<1,0.03,0.02>",1,"<1,0.03,0.02>",1
"theme_sale_bangalore","","","","","rui/events/theme_sale_bangalore/store_header_bg","#GRIDIRON_SALE_STORE_TITLE","<0.78,0.77,0.76>",1,"<0,0,0>",1
"lunar","","","","","rui/events/sale_black_Friday/store_header_bg","#LUNAR_STORE_TITLE","<0,0,0>",0,"<0,0,0>",0
"spring","","","","","rui/events/sale_black_Friday/store_header_bg","#SPRING_STORE_TITLE","<0,0,0>",0,"<0,0,0>",0
"theme_sale_lifeline","","","","","rui/events/theme_sale_lifeline/store_header_bg","#LIFELINE_OP_STORE_TITLE","<0,0,0>",0,"<0,0,0>",0
"seasonal","","","","","rui/events/seasonal_store/store_header_bg","#SEASONAL_STORE_TITLE","<0.43,0.01,0>",1,"<0.43,0.01,0>",1
"special_1","","","","","rui/events/special_store_1/store_header_bg","#SPECIAL_STORE_1_TITLE","<0,0,0>",0,"<0,0,0>",0
"special_2","","","","","rui/events/special_store_2/store_header_bg","#SPECIAL_STORE_2_TITLE","<0.01,0,0>",1,"<0.01,0,0>",1
"special_3","","","","","rui/events/special_store_3/store_header_bg","#SPECIAL_STORE_3_TITLE","<0,0,0>",0,"<0,0,0>",0
"special_4","","","","","rui/events/special_store_4/store_header_bg","#SPECIAL_STORE_4_TITLE","<0,0,0>",0,"<0,0,0>",0
"special_5","","","","","rui/events/special_store_5/store_header_bg","#SPECIAL_STORE_5_TITLE","<0,0,0>",0,"<0,0,0>",0
"string","asset_noprecache","asset_noprecache","asset_noprecache","asset_noprecache","asset_noprecache","string","vector","float","vector","float"
