"entName","mp_ability_void_ring","mp_weapon_bubble_bunker","mp_ability_echo_locator","mp_weapon_jump_pad","mp_ability_space_elevator_tac","mp_weapon_dirty_bomb","mp_weapon_grenade_emp","mp_weapon_throwingknife"
"cover_wall","0","0","0","0","0","1","1","1"
"black_market","0","0","0","0","0","0","1","1"
"tesla_trap","0","0","0","0","0","0","1","1"
"trophy_system","0","0","0","0","0","0","0","1"
"al_shield_anchor","0","0","0","0","0","1","1","1"
"respawn_chamber","1","1","1","1","1","1","1","1"
"respawn_chamber_mobile","1","1","1","1","1","1","1","1"
"care_package","1","1","1","1","1","1","1","1"
"mounted_turret_placeable","0","0","0","0","0","0","1","1"
"death_totem","0","0","0","0","0","0","1","1"
"caustic_trap","0","0","0","0","0","1","1","1"
"deployable_medic","0","0","0","0","0","0","1","1"
"crypto_camera","0","0","0","0","0","0","0","0"
"LootDroneModel","0","0","0","0","0","0","1","1"
"LootRoller","0","0","0","0","0","0","1","1"
"string","string","string","string","string","string","string","string","string"
