"category","alias","responseId"
"hostile_near","diag_mp_wraith_voices_nearThreat_1p","WRAITH_WARN_HOSTILES"
"","diag_mp_wraith_voices_nearThreat_1p",""
"hostile_mid","diag_mp_wraith_voices_hostiles_1p","WRAITH_WARN_HOSTILES"
"hostile_far","diag_mp_wraith_voices_farThreat_1p","WRAITH_WARN_HOSTILES"
"hostile_surround","diag_mp_wraith_voices_surround_1p","WRAITH_WARN_SURROUNDED"
"","diag_mp_wraith_voices_surround_1p",""
"advancing","diag_mp_wraith_voices_incoming_1p","WRAITH_WARN_HOSTILES"
"withdrawing","diag_mp_wraith_voices_retreat_1p","WRAITH_WARN_HOSTILES"
"chasing","diag_mp_wraith_voices_chase_1p","WRAITH_WARN_HOSTILES"
"static","diag_mp_wraith_voices_camp_1p","WRAITH_WARN_HOSTILES"
"multiple","diag_mp_wraith_voices_group_1p","WRAITH_WARN_HOSTILES"
"watching","diag_mp_wraith_voices_watched_1p","WRAITH_WARN_WATCHED"
"aiming","diag_mp_wraith_voices_seesPlayer_1p","WRAITH_WARN_SEES_PLAYER"
"sniping","diag_mp_wraith_voices_sniper_1p","WRAITH_WARN_SNIPER"
"ping","diag_mp_wraith_voices_ping_1p","WRAITH_WARN_PING"
"trap","diag_mp_wraith_voices_traps_1p","WRAITH_WARN_TRAPS"
"bombardment","diag_mp_wraith_voices_bombs_1p","WRAITH_WARN_BOMBS"
"killzone","diag_mp_wraith_voices_killzone_1p","WRAITH_WARN_KILLZONE"
"grenade","diag_mp_wraith_voices_grenade_1p","WRAITH_WARN_GRENADE"
"above","diag_mp_wraith_voices_above_1p","WRAITH_WARN_HOSTILES"
"below","diag_mp_wraith_voices_below_1p","WRAITH_WARN_HOSTILES"
"behind","diag_mp_wraith_voices_behind_1p","WRAITH_WARN_HOSTILES"
"ahead","diag_mp_wraith_voices_ahead_1p","WRAITH_WARN_HOSTILES"
"flanking","diag_mp_wraith_voices_flank_1p","WRAITH_WARN_HOSTILES"
"string","string","string"
